1,2,336,35,0,leave
1,2.1,336,0,42,leave
1,2.3,336,0,0,leave
1,2.5,336,22,0,leave
1,2.6,336,9,0,leave
1,2.8,336,4,6,leave
1,3.1,336,0,2,leave
1,3.3,336,0,0,leave
1,3.6,336,1,3,leave
1,3.9,336,1,3,leave
1,4.2,336,0,0,leave
1,4.4,335,0,3,leave
1,4.7,336,35,0,leave
1,5,336,15,0,leave
1,5.2,335,0,15,leave
1,5.4,336,1,4,leave
1,5.6,336,0,5,leave
1,5.9,336,6,20,leave
1,6.1,335,0,48,leave
1,6.3,335,22,0,leave
1,6.6,336,3,40,leave
1,6.8,336,0,0,leave
1,7.1,336,35,0,leave
1,7.3,336,109,813,sit
1,7.6,336,81,625,leave
1,7.8,336,34,829,sit
1,8.1,335,23,972,sit
1,8.3,335,44,941,sit
1,8.6,336,43,942,sit
1,8.8,335,51,904,sit
1,9.1,336,29,1023,sit
1,9.3,335,70,691,leave
1,9.6,336,36,920,sit
1,9.8,335,37,949,sit
1,10.1,335,25,959,sit
1,10.4,335,42,938,sit
1,10.7,336,39,953,sit
1,11,336,54,892,sit
1,11.3,336,0,916,sit
1,11.5,336,96,958,sit
1,11.9,336,39,893,sit
1,12.2,336,21,927,sit
1,12.4,335,29,935,sit
1,12.7,335,34,935,sit
1,13,336,33,959,sit
1,13.4,336,45,939,sit
1,13.7,336,41,930,sit
1,14,336,10,927,sit
1,14.3,336,6,930,sit
1,14.6,336,44,930,sit
1,14.8,336,32,939,sit
1,15,336,26,937,sit
1,15.2,335,30,930,sit
1,15.5,336,37,900,sit
1,15.7,336,3,906,sit
1,15.9,336,0,915,sit
1,16.1,336,75,793,sit
1,16.3,336,26,924,sit
1,16.4,335,37,921,sit
1,16.6,335,36,928,sit
1,16.8,336,37,919,sit
1,16.9,336,30,888,sit
1,17.1,336,20,899,sit
1,17.4,336,36,886,sit
1,17.6,336,46,756,sit
1,17.9,336,61,1009,sit
1,18.1,336,41,944,sit
1,18.4,336,31,943,sit
1,18.6,336,35,941,sit
1,18.9,336,46,943,sit
1,19.1,336,18,948,sit
1,19.4,335,31,1011,sit
1,19.6,336,58,800,sit
1,19.9,336,15,981,sit
1,20.1,336,42,951,sit
1,20.4,336,34,969,sit
1,20.6,335,45,957,sit
1,20.9,336,50,982,sit
1,21.2,336,24,976,sit
1,21.4,335,29,918,sit
1,21.6,335,53,633,leave
1,21.9,335,0,13,leave
1,22.1,75,11,0,lying
1,22.4,38,0,9,lying
1,22.7,35,0,0,lying
1,22.9,26,0,0,lying
1,23.2,22,595,6,lying
1,23.4,18,912,0,lying
1,23.7,16,927,0,lying
1,23.9,8,930,0,lying
1,24.2,9,924,100,lying
1,24.4,19,927,107,lying
